2025-05-17 16:46:46,318 - INFO - Using device: mps
2025-05-17 16:46:49,932 - INFO - 
        ---------------------------------------------------------------
        Loaded checkpoint from model_run_6/checkpoint.pkl with following params:
        EPISODE: 850
        STEP: 832,922
        BEST REWARD: -11.0
        EPSILON: 0.0140
        ---------------------------------------------------------------
        
2025-05-17 18:16:36,927 - INFO - Episode 1044, Total Reward: -16.0, Average Loss: 0.0017, Epsilon: 0.0100
2025-05-17 18:17:02,348 - INFO - Episode 1045, Total Reward: -19.0, Average Loss: 0.0017, Epsilon: 0.0100
2025-05-17 18:17:27,721 - INFO - Episode 1046, Total Reward: -17.0, Average Loss: 0.0019, Epsilon: 0.0100
2025-05-17 18:17:53,536 - INFO - Episode 1047, Total Reward: -16.0, Average Loss: 0.0018, Epsilon: 0.0100
2025-05-17 18:18:25,173 - INFO - Episode 1048, Total Reward: -15.0, Average Loss: 0.0017, Epsilon: 0.0100
2025-05-17 18:18:52,022 - INFO - Episode 1049, Total Reward: -21.0, Average Loss: 0.0016, Epsilon: 0.0100
2025-05-17 18:19:16,355 - INFO - Episode 1050, Total Reward: -19.0, Average Loss: 0.0018, Epsilon: 0.0100
2025-05-17 18:19:41,597 - INFO - Episode 1051, Total Reward: -19.0, Average Loss: 0.0017, Epsilon: 0.0100
2025-05-17 18:20:16,369 - INFO - Episode 1052, Total Reward: -15.0, Average Loss: 0.0016, Epsilon: 0.0100
2025-05-17 18:20:42,579 - INFO - Episode 1053, Total Reward: -18.0, Average Loss: 0.0018, Epsilon: 0.0100
2025-05-17 18:21:12,617 - INFO - Episode 1054, Total Reward: -18.0, Average Loss: 0.0014, Epsilon: 0.0100
